review_text,rating,date,customer_type
The room was spacious. Really enjoyed my stay!,4,2025-03-14,Family
The staff was unwelcoming. Very disappointed with the service.,2,2026-01-05,Couple
The room was okay. Nothing special but met basic needs.,3,2026-01-21,Group
The cleanliness was dirty. Very disappointed with the service.,1,2025-07-15,Couple
The cleanliness was fresh. Really enjoyed my stay!,5,2025-08-03,Solo
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-01,Group
The room was comfortable. Really enjoyed my stay!,5,2025-11-20,Couple
The food was limited. Very disappointed with the service.,1,2025-12-21,Solo
The room was small. Very disappointed with the service.,2,2025-02-14,Solo
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-27,Solo
The cleanliness was dusty. Very disappointed with the service.,2,2025-03-07,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-12-05,Group
The cleanliness was dirty. Very disappointed with the service.,2,2025-01-31,Group
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-01,Family
The room was dirty. Very disappointed with the service.,1,2025-07-08,Solo
The staff was kind. Really enjoyed my stay!,5,2025-05-29,Business
The room was small. Very disappointed with the service.,2,2025-08-31,Family
The cleanliness was fresh. Really enjoyed my stay!,4,2025-10-31,Group
The cleanliness was moldy. Very disappointed with the service.,1,2026-02-04,Group
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-01-30,Group
The staff was unwelcoming. Very disappointed with the service.,1,2025-02-14,Group
The cleanliness was fresh. Really enjoyed my stay!,5,2025-10-24,Group
The food was expensive. Very disappointed with the service. I would consider coming back if things improve.,1,2025-12-18,Business
The room was quiet. Really enjoyed my stay!,4,2025-11-18,Couple
The staff was kind. Really enjoyed my stay!,5,2025-10-13,Group
The food was breakfast. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-02-10,Group
The staff was okay. Nothing special but met basic needs.,3,2025-06-20,Group
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-03,Group
The staff was kind. Really enjoyed my stay!,4,2025-04-27,Family
The cleanliness was fresh. Really enjoyed my stay!,5,2025-11-11,Family
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-12-19,Family
The room was bed. Really enjoyed my stay!,4,2025-11-13,Solo
The room was noisy. Very disappointed with the service.,2,2025-07-14,Couple
The staff was friendly. Really enjoyed my stay!,5,2025-10-17,Couple
The cleanliness was fresh. Really enjoyed my stay!,5,2025-07-03,Couple
The staff was professional. Really enjoyed my stay!,5,2025-01-26,Family
The room was clean. Really enjoyed my stay!,5,2025-01-07,Family
The staff was helpful. Really enjoyed my stay!,5,2025-11-06,Family
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-08-28,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-07-24,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-05-12,Business
The room was bed. Really enjoyed my stay!,4,2025-02-15,Solo
The cleanliness was okay. Nothing special but met basic needs.,3,2025-09-11,Solo
The staff was okay. Nothing special but met basic needs.,3,2025-02-04,Couple
The room was spacious. Really enjoyed my stay!,5,2025-02-03,Couple
The food was buffet. Really enjoyed my stay!,4,2025-04-29,Business
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-09,Solo
The room was dirty. Very disappointed with the service.,2,2025-03-26,Group
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-04-09,Business
The food was limited. Very disappointed with the service.,2,2026-02-01,Family
The food was limited. Very disappointed with the service.,1,2025-07-04,Family
The room was okay. Nothing special but met basic needs.,3,2025-11-17,Couple
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,1,2026-01-16,Solo
The room was comfortable. Really enjoyed my stay!,4,2025-12-21,Solo
The staff was okay. Nothing special but met basic needs.,3,2025-07-04,Business
The room was bed. Really enjoyed my stay!,4,2025-12-02,Group
The staff was professional. Really enjoyed my stay!,4,2025-12-18,Family
The food was breakfast. Really enjoyed my stay!,5,2025-07-30,Solo
The staff was kind. Really enjoyed my stay!,5,2025-08-23,Family
The staff was helpful. Really enjoyed my stay!,5,2025-04-17,Solo
The staff was friendly. Really enjoyed my stay!,5,2025-11-21,Solo
The staff was kind. Really enjoyed my stay!,5,2025-09-08,Solo
The cleanliness was moldy. Very disappointed with the service.,1,2025-01-23,Business
The food was okay. Nothing special but met basic needs.,3,2025-04-22,Couple
The food was limited. Very disappointed with the service.,1,2025-04-21,Group
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-02-11,Family
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2026-01-13,Solo
The staff was helpful. Really enjoyed my stay!,5,2026-01-26,Solo
The cleanliness was hygienic. Really enjoyed my stay!,5,2025-11-03,Solo
The cleanliness was okay. Nothing special but met basic needs.,3,2025-09-30,Business
The room was small. Very disappointed with the service.,2,2025-01-04,Solo
The room was dirty. Very disappointed with the service.,2,2025-01-29,Family
The food was expensive. Very disappointed with the service.,2,2025-03-21,Couple
The cleanliness was dirty. Very disappointed with the service.,2,2026-01-08,Couple
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,2,2026-02-02,Couple
The cleanliness was fresh. Really enjoyed my stay!,4,2025-01-15,Couple
The food was delicious. Really enjoyed my stay!,5,2026-01-18,Solo
The cleanliness was hygienic. Really enjoyed my stay!,5,2025-12-24,Business
The staff was unwelcoming. Very disappointed with the service.,1,2025-06-18,Group
The staff was slow. Very disappointed with the service.,2,2025-04-05,Couple
The cleanliness was fresh. Really enjoyed my stay!,4,2025-09-26,Solo
The staff was professional. Really enjoyed my stay!,4,2025-06-03,Couple
The food was okay. Nothing special but met basic needs.,3,2025-03-20,Family
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-16,Group
The cleanliness was fresh. Really enjoyed my stay!,4,2025-04-09,Family
The food was delicious. Really enjoyed my stay!,4,2025-10-19,Business
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-03-23,Solo
The food was breakfast. Really enjoyed my stay!,4,2025-02-08,Couple
The staff was slow. Very disappointed with the service. I would consider coming back if things improve.,1,2025-09-11,Family
The cleanliness was moldy. Very disappointed with the service.,2,2025-10-26,Group
The cleanliness was okay. Nothing special but met basic needs.,3,2026-01-13,Family
The cleanliness was fresh. Really enjoyed my stay!,5,2025-02-02,Group
The food was buffet. Really enjoyed my stay!,4,2025-04-03,Solo
The room was okay. Nothing special but met basic needs.,3,2025-02-19,Solo
The food was delicious. Really enjoyed my stay!,4,2025-10-02,Family
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-08-19,Solo
The room was okay. Nothing special but met basic needs.,3,2025-02-04,Couple
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-10-27,Group
The staff was helpful. Really enjoyed my stay!,5,2025-08-17,Solo
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-07-30,Business
The food was expensive. Very disappointed with the service.,1,2025-03-29,Group
The room was dirty. Very disappointed with the service.,2,2025-05-09,Business
The room was dirty. Very disappointed with the service.,1,2025-10-15,Group
The staff was rude. Very disappointed with the service.,1,2025-06-20,Family
The food was expensive. Very disappointed with the service. I would consider coming back if things improve.,1,2025-11-07,Business
The food was tasty. Really enjoyed my stay!,5,2025-07-06,Couple
The cleanliness was dirty. Very disappointed with the service.,1,2025-11-20,Group
The food was limited. Very disappointed with the service. I would consider coming back if things improve.,1,2025-06-15,Family
The cleanliness was fresh. Really enjoyed my stay!,4,2025-11-10,Family
The cleanliness was dusty. Very disappointed with the service.,1,2025-09-22,Family
The staff was professional. Really enjoyed my stay!,5,2025-01-13,Couple
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-11-15,Group
The cleanliness was spotless. Really enjoyed my stay!,4,2025-09-26,Solo
The cleanliness was spotless. Really enjoyed my stay!,4,2025-01-29,Family
The room was noisy. Very disappointed with the service.,1,2025-08-24,Couple
The staff was professional. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-10-03,Couple
The food was tasty. Really enjoyed my stay!,4,2026-01-11,Solo
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-17,Group
The food was limited. Very disappointed with the service.,1,2025-11-10,Business
The cleanliness was moldy. Very disappointed with the service.,1,2025-06-19,Family
The room was quiet. Really enjoyed my stay!,4,2025-01-18,Solo
The food was delicious. Really enjoyed my stay!,5,2025-12-16,Business
The food was okay. Nothing special but met basic needs.,3,2025-03-31,Group
The food was limited. Very disappointed with the service.,2,2025-11-01,Solo
The staff was unwelcoming. Very disappointed with the service. I would consider coming back if things improve.,1,2026-01-06,Solo
The food was buffet. Really enjoyed my stay!,5,2026-02-03,Family
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-02-19,Solo
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-01-25,Solo
The food was buffet. Really enjoyed my stay!,4,2026-01-28,Couple
The staff was kind. Really enjoyed my stay!,4,2025-01-30,Couple
The room was quiet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-05-18,Family
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-03,Business
The food was limited. Very disappointed with the service.,1,2025-07-24,Group
The cleanliness was dusty. Very disappointed with the service.,1,2025-03-17,Business
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,2,2025-05-31,Solo
The room was bed. Really enjoyed my stay!,4,2025-02-22,Solo
The staff was professional. Really enjoyed my stay!,5,2025-12-01,Family
The food was tasty. Really enjoyed my stay!,4,2025-12-14,Couple
The food was limited. Very disappointed with the service.,1,2025-08-10,Group
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,1,2025-02-15,Business
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-10-11,Business
The staff was professional. Really enjoyed my stay!,4,2025-10-30,Family
The food was cold. Very disappointed with the service.,2,2025-05-24,Group
The cleanliness was spotless. Really enjoyed my stay!,4,2025-03-21,Couple
The room was bed. Really enjoyed my stay!,5,2025-03-14,Solo
The food was buffet. Really enjoyed my stay!,4,2025-09-21,Solo
The room was okay. Nothing special but met basic needs.,3,2025-12-22,Business
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-08-18,Solo
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,2,2025-04-26,Business
The room was clean. Really enjoyed my stay!,5,2025-06-26,Business
The room was okay. Nothing special but met basic needs.,3,2025-05-03,Family
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-06-21,Group
The staff was professional. Really enjoyed my stay!,5,2026-02-04,Group
The room was bed. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-02,Family
The food was cold. Very disappointed with the service.,1,2025-09-12,Solo
The room was bed. Really enjoyed my stay!,5,2025-06-24,Group
The room was dirty. Very disappointed with the service. I would consider coming back if things improve.,1,2026-01-29,Business
The room was clean. Really enjoyed my stay!,5,2025-07-09,Group
The staff was helpful. Really enjoyed my stay!,4,2025-08-17,Solo
The staff was kind. Really enjoyed my stay!,4,2025-09-18,Couple
The staff was okay. Nothing special but met basic needs.,3,2026-01-03,Business
The food was delicious. Really enjoyed my stay!,4,2025-11-29,Family
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-12-02,Business
The staff was rude. Very disappointed with the service.,1,2025-06-16,Couple
The staff was unwelcoming. Very disappointed with the service.,2,2025-04-11,Group
The food was buffet. Really enjoyed my stay!,5,2026-01-16,Couple
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-05,Solo
The room was okay. Nothing special but met basic needs.,3,2025-08-24,Solo
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-12-04,Business
The staff was slow. Very disappointed with the service.,1,2025-03-04,Couple
The staff was kind. Really enjoyed my stay!,5,2025-08-31,Group
The cleanliness was dusty. Very disappointed with the service.,1,2025-03-24,Group
The staff was helpful. Really enjoyed my stay!,5,2025-11-19,Family
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-06-13,Family
The food was okay. Nothing special but met basic needs.,3,2025-11-22,Solo
The room was clean. Really enjoyed my stay!,4,2025-03-04,Business
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-11-05,Group
The room was comfortable. Really enjoyed my stay!,4,2025-06-24,Couple
The cleanliness was fresh. Really enjoyed my stay!,4,2026-01-01,Solo
The room was small. Very disappointed with the service.,2,2025-02-04,Business
The room was small. Very disappointed with the service.,1,2025-01-01,Business
The cleanliness was fresh. Really enjoyed my stay!,5,2025-12-17,Solo
The cleanliness was dirty. Very disappointed with the service.,2,2025-03-07,Solo
The cleanliness was spotless. Really enjoyed my stay!,4,2025-01-04,Group
The staff was friendly. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-01-14,Couple
The cleanliness was dusty. Very disappointed with the service.,2,2025-04-26,Couple
The cleanliness was okay. Nothing special but met basic needs.,3,2025-04-11,Couple
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,1,2025-07-27,Group
The food was limited. Very disappointed with the service.,1,2025-08-27,Solo
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-08-15,Business
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-02-24,Family
The cleanliness was okay. Nothing special but met basic needs.,3,2025-01-08,Couple
The staff was helpful. Really enjoyed my stay!,5,2025-11-10,Solo
The room was noisy. Very disappointed with the service.,1,2025-06-04,Couple
The cleanliness was moldy. Very disappointed with the service. I would consider coming back if things improve.,1,2025-06-12,Family
The food was limited. Very disappointed with the service.,2,2025-11-12,Group
The staff was rude. Very disappointed with the service.,1,2025-03-07,Business
The food was delicious. Really enjoyed my stay!,4,2025-08-19,Business
The room was comfortable. Really enjoyed my stay!,4,2026-01-16,Solo
The food was okay. Nothing special but met basic needs.,3,2025-01-22,Family
The staff was okay. Nothing special but met basic needs.,3,2025-01-16,Couple
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2026-01-20,Couple
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-11-02,Solo
The room was dirty. Very disappointed with the service.,2,2025-05-23,Couple
The cleanliness was dusty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-06-02,Family
The food was expensive. Very disappointed with the service.,2,2025-06-08,Couple
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-04-12,Group
The cleanliness was spotless. Really enjoyed my stay!,4,2025-07-04,Solo
The food was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-11-29,Family
The room was bed. Really enjoyed my stay!,5,2025-05-11,Business
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-03-23,Couple
The staff was slow. Very disappointed with the service. I would consider coming back if things improve.,1,2025-10-19,Couple
The food was okay. Nothing special but met basic needs.,3,2025-12-02,Family
The food was cold. Very disappointed with the service.,1,2026-01-13,Family
The cleanliness was dusty. Very disappointed with the service.,1,2025-01-19,Family
The staff was kind. Really enjoyed my stay!,5,2025-11-08,Solo
The room was okay. Nothing special but met basic needs.,3,2025-05-25,Group
The food was delicious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-12-10,Couple
The cleanliness was spotless. Really enjoyed my stay!,4,2026-01-28,Group
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,1,2025-10-12,Business
The food was delicious. Really enjoyed my stay!,4,2025-06-25,Business
The cleanliness was fresh. Really enjoyed my stay!,4,2025-08-11,Couple
The staff was okay. Nothing special but met basic needs.,3,2025-12-10,Couple
The food was expensive. Very disappointed with the service.,2,2025-08-28,Group
The cleanliness was fresh. Really enjoyed my stay!,5,2025-05-18,Family
The staff was rude. Very disappointed with the service.,2,2025-11-20,Group
The food was limited. Very disappointed with the service.,2,2025-09-16,Group
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-12-09,Family
The cleanliness was fresh. Really enjoyed my stay!,4,2026-01-30,Business
The cleanliness was spotless. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-03-07,Solo
The cleanliness was okay. Nothing special but met basic needs.,3,2025-02-16,Business
The staff was kind. Really enjoyed my stay!,4,2025-05-25,Couple
The food was buffet. Really enjoyed my stay!,5,2026-01-28,Group
The cleanliness was dusty. Very disappointed with the service.,2,2025-05-16,Couple
The cleanliness was okay. Nothing special but met basic needs.,3,2025-03-21,Family
The staff was okay. Nothing special but met basic needs.,3,2025-04-09,Business
The staff was friendly. Really enjoyed my stay!,4,2026-01-04,Business
The room was small. Very disappointed with the service.,2,2026-01-20,Solo
The room was dirty. Very disappointed with the service.,2,2025-01-04,Business
The cleanliness was spotless. Really enjoyed my stay!,4,2025-05-30,Solo
The food was okay. Nothing special but met basic needs.,3,2025-02-04,Family
The food was okay. Nothing special but met basic needs.,3,2025-03-20,Business
The staff was helpful. Really enjoyed my stay!,4,2025-04-14,Solo
The food was breakfast. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-03-10,Group
The cleanliness was fresh. Really enjoyed my stay!,5,2025-02-04,Business
The food was okay. Nothing special but met basic needs.,3,2025-07-19,Group
The staff was kind. Really enjoyed my stay!,5,2025-07-29,Couple
The room was bed. Really enjoyed my stay!,5,2025-12-11,Business
The room was okay. Nothing special but met basic needs.,3,2025-09-16,Family
The staff was okay. Nothing special but met basic needs.,3,2025-09-19,Family
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-04-20,Group
The staff was kind. Really enjoyed my stay!,4,2025-11-27,Business
The cleanliness was hygienic. Really enjoyed my stay!,5,2025-09-19,Group
The food was buffet. Really enjoyed my stay!,4,2025-08-22,Business
The room was small. Very disappointed with the service.,1,2025-06-30,Group
The room was quiet. Really enjoyed my stay!,5,2025-07-23,Business
The room was small. Very disappointed with the service.,2,2025-11-05,Family
The room was quiet. Really enjoyed my stay!,5,2025-04-13,Couple
The room was spacious. Really enjoyed my stay!,4,2025-03-14,Couple
The food was tasty. Really enjoyed my stay!,5,2025-09-02,Solo
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,1,2025-09-06,Business
The food was breakfast. Really enjoyed my stay!,4,2025-02-04,Group
The food was expensive. Very disappointed with the service. I would consider coming back if things improve.,2,2025-01-28,Group
The staff was friendly. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-03,Couple
The staff was rude. Very disappointed with the service.,2,2025-04-28,Family
The food was breakfast. Really enjoyed my stay!,4,2025-05-15,Solo
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-12-19,Solo
The staff was friendly. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-07-15,Business
The cleanliness was fresh. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-12-31,Couple
The room was quiet. Really enjoyed my stay!,4,2025-12-27,Group
The room was bed. Really enjoyed my stay!,4,2025-03-26,Group
The staff was helpful. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-01-20,Group
The cleanliness was moldy. Very disappointed with the service.,1,2025-08-11,Family
The food was delicious. Really enjoyed my stay!,5,2025-02-20,Couple
The room was noisy. Very disappointed with the service.,2,2025-01-20,Family
The room was bed. Really enjoyed my stay!,5,2025-08-07,Family
The food was okay. Nothing special but met basic needs.,3,2025-06-29,Business
The room was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-10-29,Group
The staff was okay. Nothing special but met basic needs.,3,2025-06-01,Family
The cleanliness was dirty. Very disappointed with the service.,2,2026-01-16,Family
The room was clean. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-09-10,Solo
The cleanliness was fresh. Really enjoyed my stay!,4,2025-11-02,Group
The food was tasty. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-09-24,Group
The food was limited. Very disappointed with the service. I would consider coming back if things improve.,2,2025-10-30,Couple
The cleanliness was dirty. Very disappointed with the service.,1,2026-02-04,Family
The room was bed. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-07,Couple
The room was comfortable. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-07-07,Solo
The food was okay. Nothing special but met basic needs.,3,2025-02-20,Business
The food was breakfast. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-03-25,Group
The food was buffet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-12-21,Couple
The room was bed. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-03-11,Group
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-07-15,Solo
The room was dirty. Very disappointed with the service.,2,2025-07-27,Couple
The room was spacious. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-04-21,Solo
The food was breakfast. Really enjoyed my stay!,4,2025-10-14,Business
The food was buffet. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-18,Couple
The staff was okay. Nothing special but met basic needs.,3,2025-11-20,Family
The room was okay. Nothing special but met basic needs.,3,2025-07-09,Business
The staff was friendly. Really enjoyed my stay!,4,2025-07-04,Solo
The cleanliness was okay. Nothing special but met basic needs.,3,2025-09-01,Family
The staff was okay. Nothing special but met basic needs.,3,2025-05-07,Business
The cleanliness was hygienic. Really enjoyed my stay!,4,2025-02-09,Business
The room was okay. Nothing special but met basic needs.,3,2025-09-11,Business
The staff was okay. Nothing special but met basic needs.,3,2025-04-13,Family
The food was cold. Very disappointed with the service. I would consider coming back if things improve.,2,2025-03-20,Solo
The cleanliness was okay. Nothing special but met basic needs.,3,2025-02-23,Business
The room was noisy. Very disappointed with the service. I would consider coming back if things improve.,1,2025-10-13,Couple
The cleanliness was fresh. Really enjoyed my stay!,5,2025-06-04,Group
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-02-06,Family
The room was bed. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-10-21,Group
The cleanliness was okay. Nothing special but met basic needs.,3,2025-09-15,Group
The room was okay. Nothing special but met basic needs.,3,2025-08-22,Business
The food was delicious. Really enjoyed my stay!,4,2025-01-25,Solo
The cleanliness was spotless. Really enjoyed my stay! I would consider coming back if things improve.,5,2025-01-19,Business
The food was okay. Nothing special but met basic needs.,3,2025-02-15,Group
The cleanliness was moldy. Very disappointed with the service.,1,2025-11-20,Solo
The staff was friendly. Really enjoyed my stay!,4,2025-10-04,Business
The room was noisy. Very disappointed with the service.,2,2025-10-15,Couple
The food was buffet. Really enjoyed my stay! I would consider coming back if things improve.,4,2025-06-13,Family
The room was spacious. Really enjoyed my stay!,4,2025-01-25,Family
The room was small. Very disappointed with the service.,1,2025-10-18,Solo
The staff was okay. Nothing special but met basic needs.,3,2025-07-21,Group
The room was clean. Really enjoyed my stay!,5,2025-02-24,Group
The food was expensive. Very disappointed with the service.,1,2025-08-12,Solo
The room was comfortable. Really enjoyed my stay!,5,2025-03-04,Business
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,2,2025-09-03,Business
The food was expensive. Very disappointed with the service.,2,2025-10-08,Solo
The room was okay. Nothing special but met basic needs.,3,2025-02-17,Group
The cleanliness was dirty. Very disappointed with the service. I would consider coming back if things improve.,1,2025-04-10,Business
The staff was kind. Really enjoyed my stay!,5,2025-10-29,Business
The staff was friendly. Really enjoyed my stay! I would consider coming back if things improve.,4,2026-01-27,Family
The staff was kind. Really enjoyed my stay!,5,2025-04-05,Couple
The staff was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-06-02,Solo
The cleanliness was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2025-08-01,Business
The staff was slow. Very disappointed with the service. I would consider coming back if things improve.,2,2025-03-17,Solo
The food was okay. Nothing special but met basic needs. I would consider coming back if things improve.,3,2026-01-21,Couple
The food was cold. Very disappointed with the service.,1,2025-01-22,Business
The cleanliness was fresh. Really enjoyed my stay!,5,2026-01-02,Solo
The staff was kind. Really enjoyed my stay!,5,2026-01-22,Solo
